,Shabda,Varga
0,svar,svargavargaḥ
1,svarga,svargavargaḥ
2,nāka,svargavargaḥ
3,tridiva,svargavargaḥ
4,tridaśālaya,svargavargaḥ
5,suraloka,svargavargaḥ
6,dyo,svargavargaḥ
7,div,svargavargaḥ
8,triviṣṭapa,svargavargaḥ
9,tripiṣṭapa,svargavargaḥ
10,amara,svargavargaḥ
11,nirjaras,svargavargaḥ
12,deva,svargavargaḥ
13,tridaśa,svargavargaḥ
14,vibudha,svargavargaḥ
15,sura,svargavargaḥ
16,suparvan,svargavargaḥ
17,sumanas,svargavargaḥ
18,tridiveśa,svargavargaḥ
19,divaukas,svargavargaḥ
20,divaukaḥ,svargavargaḥ
21,āditeya,svargavargaḥ
22,diviṣad,svargavargaḥ
23,lekha,svargavargaḥ
24,aditinandana,svargavargaḥ
25,āditya,svargavargaḥ
26,ṛbhava,svargavargaḥ
27,asvapna,svargavargaḥ
28,amartya,svargavargaḥ
29,amṛtāndhas,svargavargaḥ
30,barhirmukha,svargavargaḥ
31,kratubhuj,svargavargaḥ
32,gīrvāṇa,svargavargaḥ
33,gīrbāṇa,svargavargaḥ
34,dānavāri,svargavargaḥ
35,vṛndāraka,svargavargaḥ
36,daivata,svargavargaḥ
37,devatā,svargavargaḥ
38,āditya,svargavargaḥ
39,viśva,svargavargaḥ
40,vasu,svargavargaḥ
41,tuṣita,svargavargaḥ
42,ābhāsvara,svargavargaḥ
43,anila,svargavargaḥ
44,mahārājika,svargavargaḥ
45,sādhya,svargavargaḥ
46,rudra,svargavargaḥ
47,vidyādhara,svargavargaḥ
48,apsaras,svargavargaḥ
49,yakṣa,svargavargaḥ
50,rakṣa,svargavargaḥ
51,gandharva,svargavargaḥ
52,kinnara,svargavargaḥ
53,piśāca,svargavargaḥ
54,guhyaka,svargavargaḥ
55,siddha,svargavargaḥ
56,bhūta,svargavargaḥ
57,asura,svargavargaḥ
58,āsura,svargavargaḥ
59,daitya,svargavargaḥ
60,daiteya,svargavargaḥ
61,danuja,svargavargaḥ
62,indrāri,svargavargaḥ
63,dānava,svargavargaḥ
64,śukraśiṣya,svargavargaḥ
65,ditisuta,svargavargaḥ
66,pūrvadeva,svargavargaḥ
67,suradviṣ,svargavargaḥ
68,sarvajña,svargavargaḥ
69,sugata,svargavargaḥ
70,buddha,svargavargaḥ
71,dharmarāja,svargavargaḥ
72,tathāgata,svargavargaḥ
73,samantabhadra,svargavargaḥ
74,bhagavat,svargavargaḥ
75,mārajit,svargavargaḥ
76,lokajit,svargavargaḥ
77,jina,svargavargaḥ
78,ṣaḍabhijña,svargavargaḥ
79,daśabala,svargavargaḥ
80,advayavādin,svargavargaḥ
81,vināyaka,svargavargaḥ
82,munīndra,svargavargaḥ
83,śrīghana,svargavargaḥ
84,śāstṛ,svargavargaḥ
85,muni,svargavargaḥ
86,śākyamuni,svargavargaḥ
87,śākyasiṃha,svargavargaḥ
88,sarvārthasiddha,svargavargaḥ
89,śauddhodani,svargavargaḥ
90,gautama,svargavargaḥ
91,arkabandhu,svargavargaḥ
92,māyādevīsuta,svargavargaḥ
93,brahman,svargavargaḥ
94,ātmabhū,svargavargaḥ
95,surajyeṣṭha,svargavargaḥ
96,parameṣṭhin,svargavargaḥ
97,pitāmaha,svargavargaḥ
98,hiraṇyagarbha,svargavargaḥ
99,lokeśa,svargavargaḥ
100,svayambhū,svargavargaḥ
101,caturānana,svargavargaḥ
102,dhātṛ,svargavargaḥ
103,abjayoni,svargavargaḥ
104,druhiṇa,svargavargaḥ
105,viriñci,svargavargaḥ
106,virañci,svargavargaḥ
107,kamalāsana,svargavargaḥ
108,sraṣṭṛ,svargavargaḥ
109,prajāpati,svargavargaḥ
110,vedhas,svargavargaḥ
111,vidhātṛ,svargavargaḥ
112,viśvasṛj,svargavargaḥ
113,vidhi,svargavargaḥ
114,nābhijanman,svargavargaḥ
115,aṇḍaja,svargavargaḥ
116,pūrva,svargavargaḥ
117,nidhana,svargavargaḥ
118,kamalodbhava,svargavargaḥ
119,sadānanda,svargavargaḥ
120,rajomūrtin,svargavargaḥ
121,satyaka,svargavargaḥ
122,haṃsavāhana,svargavargaḥ
123,viṣṇu,svargavargaḥ
124,nārāyaṇa,svargavargaḥ
125,narāyaṇa,svargavargaḥ
126,kṛṣṇa,svargavargaḥ
127,vaikuṇṭha,svargavargaḥ
128,viṣṭaraśravas,svargavargaḥ
129,dāmodara,svargavargaḥ
130,hṛṣīkeśa,svargavargaḥ
131,keśava,svargavargaḥ
132,mādhava,svargavargaḥ
133,svabhū,svargavargaḥ
134,daityāri,svargavargaḥ
135,puṇḍarīkākṣa,svargavargaḥ
136,govinda,svargavargaḥ
137,garuḍadhvaja,svargavargaḥ
